     index            Field [G]         Intensity []
       656                  462   -0.537460835761697
       657                462.4   -0.539097688787984
       658                462.8   -0.540649023522759
       659                463.2   -0.541757906028146
       660                463.6   -0.542361688402773
       661                  464   -0.542595210981544
       662                464.4   -0.542680745408396
       663                464.8   -0.542814776736491
       664                465.2   -0.543067830536265
       665                465.6   -0.543377428637176
       666                  466   -0.543666597749673
       667                466.4   -0.543973214596468
       668                466.8   -0.544434611389022
       669                467.2   -0.545132448232496
       670                467.6   -0.545981372758119
       671                  468   -0.546807317329508
       672                468.4   -0.547539052953955
       673                468.8    -0.54829614707658
       674                469.2   -0.549263597527113
       675                469.6     -0.5504673721532
       676                  470   -0.551658630363825
       677                470.4   -0.552407289525306
       678                470.8   -0.552334906874619
       679                471.2    -0.55132593360101
       680                471.6   -0.549583971797546
       681                  472   -0.547520289977095
       682                472.4   -0.545589692665946
       683                472.8   -0.544191530637862
       684                473.2   -0.543621436080837
       685                473.6   -0.543984295112201
       686                  474    -0.54509028230266
       687                474.4   -0.546484040677815
       688                474.8   -0.547672174956048
       689                475.2   -0.548396667651472
       690                475.6   -0.548739884945542
       691                  476    -0.54901692005099
       692                476.4   -0.549588716150684
       693                476.8   -0.550724397936716
       694                477.2   -0.552527266768527
       695                477.6   -0.554890204082539
       696                  478   -0.557488628965885
       697                478.4   -0.559846234487726
       698                478.8    -0.56146895088728
       699                479.2   -0.561997296776177
       700                479.6   -0.561330716064241
       701                  480   -0.559692553527286
       702                480.4   -0.557584835947758
       703                480.8   -0.555582136409782
       704                481.2   -0.554021861032777
       705                481.6   -0.552805760823372
       706                  482   -0.551523149356721
       707                482.4   -0.549844153960455
       708                482.8   -0.547844602286779
       709                483.2   -0.545964313863802
       710                483.6   -0.544671963671776
       711                  484    -0.54418869882938
       712                484.4    -0.54448291003139
       713                484.8   -0.545406428326569
       714                485.2   -0.546749971636362
       715                485.6   -0.548211700763546
       716                  486   -0.549436239451787
       717                486.4   -0.550168473440491
       718                486.8   -0.550372348669636
       719                487.2   -0.550176263578224
       720                487.6     -0.5497100446164
       721                  488   -0.549028802361444
       722                488.4    -0.54820627453504
       723                488.8    -0.54745653413428
       724                489.2   -0.547088321234722
       725                489.6   -0.547296441603182
       726                  490   -0.548011971977259
       727                490.4   -0.548987928010408
       728                490.8   -0.550032309538468
       729                491.2   -0.551137283603978
       730                491.6   -0.552381953556703
       731                  492   -0.553738197366642
       732                492.4   -0.554991058423763
       733                492.8   -0.555832083728843
       734                493.2    -0.55599841122453
       735                493.6   -0.555322660980735
       736                  494   -0.553715187878802
       737                494.4   -0.551208570445204
       738                494.8   -0.548093518140017
       739                495.2   -0.544978638545335
       740                495.6   -0.542596838029824
       741                  496   -0.541432385300134
       742                496.4    -0.54146685736669
       743                496.8   -0.542249977063434
       744                497.2   -0.543197923542567
       745                497.6   -0.543859621136636
       746                  498   -0.544009976031921
       747                498.4   -0.543628132750818
       748                498.8   -0.542863127939288
       749                499.2   -0.541986598228746
       750                499.6   -0.541275734833115
       751                  500   -0.540860732001239
       752                500.4   -0.540674173126888
       753                500.8    -0.54057604718227
       754                501.2   -0.540547233390737
       755                501.6   -0.540764600700015
       756                  502   -0.541479719188552
       757                502.4   -0.542796759285575
       758                502.8   -0.544536641959049
       759                503.2   -0.546327908419488
       760                503.6   -0.547891899719639
       761                  504   -0.549296137359609
       762                504.4   -0.550928140501759
       763                504.8   -0.553171056406924
       764                505.2    -0.55604202646602
       765                505.6   -0.559092036330861
       766                  506   -0.561626381430807
       767                506.4   -0.563046945426522
       768                506.8   -0.563077735835008
       769                507.2   -0.561785904899725
       770                507.6   -0.559467044944764
       771                  508   -0.556515423810359
       772                508.4   -0.553358243250266
       773                508.8   -0.550444743319287
       774                509.2   -0.548208536661165
       775                509.6   -0.546945254320237
       776                  510   -0.546666966417355
       777                510.4   -0.547073889980987
       778                510.8   -0.547709748613936
       779                511.2   -0.548216634336882
       780                511.6    -0.54853798003682
       781                  512   -0.548961492809069
       782                512.4   -0.549965309650064
       783                512.8   -0.551910316435756
       784                513.2   -0.554731912029807
       785                513.6   -0.557844559244193
       786                  514   -0.560366828266236
       787                514.4    -0.56155782876215
       788                514.8   -0.561215688773613
       789                515.2   -0.559816065902684
       790                515.6   -0.558305038953051
       791                  516   -0.557630453949941
       792                516.4   -0.558248005257577
       793                516.8     -0.5598908624582
       794                517.2   -0.561762777826755
       795                517.6   -0.563038151642874
       796                  518   -0.563319514882022
       797                518.4   -0.562733706206089
       798                518.8   -0.561657289775343
       799                519.2   -0.560369680757651
       800                519.6   -0.558927616968318
       801                  520   -0.557268244455426
       802                520.4   -0.555335572325013
